,Row ID,Order ID,Order year,Order-month,Order day,Ship year,Ship-month,Ship day,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Category,Sub-Category,Product Name,Quantity,Sales,Discount,Profit
0,1,CA-2016-152156,2016,Nov,8,2016,Nov,11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,261.96,0.0,41.9136
1,2,CA-2016-152156,2016,Nov,8,2016,Nov,11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,731.94,0.0,219.582
2,3,CA-2016-138688,2016,Jun,12,2016,Jun,16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2,14.62,0.0,6.8714
3,4,US-2015-108966,2015,Oct,11,2015,Oct,18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,957.5775,0.45,-383.031
4,5,US-2015-108966,2015,Oct,11,2015,Oct,18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2,22.368,0.2,2.5164
5,6,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,48.86,0.0,14.1694
6,7,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Office Supplies,Art,Newell 322,4,7.28,0.0,1.9656
7,8,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,907.152,0.2,90.7152
8,9,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,18.504,0.2,5.7825
9,10,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,114.9,0.0,34.47
10,11,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,9,1706.184,0.2,85.3092
11,12,CA-2014-115812,2014,Jun,9,2014,Jun,14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,4,911.424,0.2,68.3568
12,13,CA-2017-114412,2017,Apr,15,2017,Apr,20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,Office Supplies,Paper,Xerox 1967,3,15.552,0.2,5.4432
13,14,CA-2016-161389,2016,Dec,5,2016,Dec,10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,3,407.976,0.2,132.5922
14,15,US-2015-118983,2015,Nov,22,2015,Nov,26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5,68.81,0.8,-123.858
